LINE_START_NAME,LINE_END_NAME
Голочело,Ботуње
Нови Милановац,Доња Сабанта
Денино брдо,Водовод
Аутобуска станица/с. колонија/,Аутобуска станица
Виногради,Мале Пчелице
Кванташ,Грошница
Вишњак,Стара општина
Ћифтина ћуприја,Цветојевац
Ердеч,Маршић
Хотел /Болница/,Хотел /Станово/
Трмбас,Грошница
Трмбас,Кванташ
Корићани,Драча
Велико Поље,Десимировац
Баљковац,Језеро
Бозман /мала вага/,Бозман
Денино брдо /Ердоглија/,Денино брдо /Електрошумадија/
Денино брдо,Корићани
Ћава,Кошутњак брдо
Ердеч,Шумски рај
Мале пчелице /старо село/,Теферич /викенд насеље/
Голочело,Кормански пут /Мала река/
Нови Милановац,Ждраљица
Денино брдо,Бресница
Аутобуска станица,Грошница
Вишњак,Споменик
Ћифтина ћуприја /Милатовац/,Цветојевац
Корићани,Шумарице
Велико Поље,Десимировац пумпа
Баљковац,Дом старих
Bozman/Mala Vaga/,Pijac I
Неотворена вожња,Неотворена вожња
Голочело,Корман
Петровац,Доња Сабанта
Багремар,Стара општина
Драгобраћа,Ботуње
Петровац,Ждраљица
Багремар,Споменик
Драгобраћа,Кормански пут /Мала река/
Драгобраћа,Корман
Аутобуска станица,Први Ракаљ
Ћифтина ћуприја,Букуровац
Аутобуска станица /Рамаћа/,Каменица
Аутобуска станица,Доње Грбице
Ћифтина ћуприја,Ресник
Аутобуска станица /Дубрава/,Дулене
Аутобуска станица,Страгари
Аутобуска станица,Доње Комарице
Аутобуска станица,Мала Врбица
Аутобуска станица /Поскурице/,Мала Врбица
Аутобуска станица /Дреновац/,Ђурисело
Аутобуска станица,Лужнице
Аутобуска станица,Вињиште
Аутобуска станица,Први Ракаљ /Велика Сугубина/
Аутобуска станица,Каменица
Аутобуска станица,Дулене /Дубрава/
Аутобуска станица/Чумић школа/,Страгари
Аутобуска станица,Доње Комарице /Горње Комарице/
Аутобуска станица,Горње Јарушице
Аутобуска станица,Пајазитово
Аутобуска станица,Ђурисело
Autobuska stanica ,Lužnice/Cerovac/
Vinjište groblje,Raskrsnica
Аутобуска станица/В. Сугубина/,Дулене
Аутобуска станица,Рогојевац
Аутобуска станица /В.Сугубина/,Дулене
Мала Врбица,Аутобуска станица
Аутобуска станица,Дреновац
