DISPLAY_ROUTE_CODE,ROUTE_CODE,LINE_START_NAME,LINE_END_NAME
1,00001,Голочело,Ботуње
2,00002,Нови Милановац,Доња Сабанта
3,00003,Денино брдо,Водовод
4,00004,Аутобуска станица/с. колонија/,Аутобуска станица
5,00005,Виногради,Мале Пчелице
6,00006,Кванташ,Грошница
8,00008,Вишњак,Стара општина
9,00009,Ћифтина ћуприја,Цветојевац
10,00010,Ердеч,Маршић
11,00011,Хотел /Болница/,Хотел /Станово/
13,00013,Трмбас,Грошница
14,00014,Трмбас,Кванташ
15,00015,Корићани,Драча
16,00016,Велико Поље,Десимировац
17,00017,Баљковац,Језеро
18,00018,Бозман /мала вага/,Бозман
19,00019,Денино брдо /Ердоглија/,Денино брдо /Електрошумадија/
20,00020,Денино брдо,Корићани
24,00024,Ћава,Кошутњак брдо
25,00025,Ердеч,Шумски рај
26,00026,Мале пчелице /старо село/,Теферич /викенд насеље/
1/2,10001,Голочело,Кормански пут /Мала река/
2/2,10002,Нови Милановац,Ждраљица
3/2,10003,Денино брдо,Бресница
6/1,10006,Аутобуска станица,Грошница
8/2,10008,Вишњак,Споменик
9/2,10009,Ћифтина ћуприја /Милатовац/,Цветојевац
15/2,10015,Корићани,Шумарице
16/2,10016,Велико Поље,Десимировац пумпа
17/2,10017,Баљковац,Дом старих
18/1,10018,Bozman/Mala Vaga/,Pijac I
1/3,20001,Голочело,Корман
2/3,20002,Петровац,Доња Сабанта
8/3,20008,Багремар,Стара општина
1/4,30001,Драгобраћа,Ботуње
2/4,30002,Петровац,Ждраљица
8/4,30008,Багремар,Споменик
1/5,40001,Драгобраћа,Кормански пут /Мала река/
1/6,50001,Драгобраћа,Корман
600,60600,Аутобуска станица,Први Ракаљ
601,60601,Ћифтина ћуприја,Букуровац
602,60602,Аутобуска станица /Рамаћа/,Каменица
603,60603,Аутобуска станица,Доње Грбице
604,60604,Ћифтина ћуприја,Ресник
605,60605,Аутобуска станица /Дубрава/,Дулене
606,60606,Аутобуска станица,Страгари
607,60607,Аутобуска станица,Доње Комарице
608,60608,Аутобуска станица,Мала Врбица
609,60609,Аутобуска станица /Поскурице/,Мала Врбица
610,60610,Аутобуска станица /Дреновац/,Ђурисело
611,60611,Аутобуска станица,Лужнице
612,60612,Аутобуска станица,Вињиште
600/2,61600,Аутобуска станица,Први Ракаљ /Велика Сугубина/
602/1,61602,Аутобуска станица,Каменица
605/1,61605,Аутобуска станица,Дулене /Дубрава/
606/1,61606,Аутобуска станица/Чумић школа/,Страгари
607/1,61607,Аутобуска станица,Доње Комарице /Горње Комарице/
608/1,61608,Аутобуска станица,Горње Јарушице
609/1,61609,Аутобуска станица,Пајазитово
610/1,61610,Аутобуска станица,Ђурисело
611/1,61611,Autobuska stanica ,Lužnice/Cerovac/
612/1,61612,Vinjište groblje,Raskrsnica
600/3,62600,Аутобуска станица/В. Сугубина/,Дулене
602/2,62602,Аутобуска станица,Рогојевац
605/2,62605,Аутобуска станица /В.Сугубина/,Дулене
608/2,62608,Мала Врбица,Аутобуска станица
610/2,62610,Аутобуска станица,Дреновац
