LINE_START_NAME,LINE_END_NAME
Унутрашњи круг,Спољашњи круг
Омладински стадион,Кнежевац
Kaлемегдан /Доњи град/,Устаничка
Ташмајдан,Устаничка
Устаничка,Блок 45
Бањица,Блок 45
Калемегдан /Доњи град/,Бањица 
Калемегдан /Доњи град/,Блок 45
Омладински стадион,Баново брдо
Устаничка,Бањица
Зелени венац,Земун /Нови град/
Карабурма 2,Нови Београд /Павиљони/
Коњарник,Земун /Горњи град/
Медаковић 3,Земун /Бачка/
Студентски трг,Коњарник
Миријево 3,Велики Mокри луг
Трг Славија,Учитељско насеље
Трг Славија,Крушевачка
Карабурма 2,Видиковац
Дорћол /СРЦ Милан Гале Мушкатировић/,Неимар
Карабурма 2,Кумодраж 2
Дорћол /Дунавска/,Насеље Браће Јерковић
Трг Републике,Миријево 3
Студентски трг,Звездара
Студентски трг,Медаковић 3
Бирчанинова,Медаковић 2
Студентски трг,Коњарник
Вуков споменик,Вишњица
ЖС Панчевачки мост,Кумодраж
Топчидерско брдо (Сењак),Пере Велимировића
Нови Београд (Блок 20),Лешће /гробље/
Железничка станица БГД центар,Железничка станица БГД центар
Железничка станица Панчевачки мост,Кнежевац
Шумице - Погон Космај,Велики Мокри луг
Бирчанинова,Кумодраж 1
Звездара,Бањица 2
Студентски трг,Бањица 2
Бирчанинова,Петлово брдо
Трг Републике,Котеж
Топчидерско брдо /Сењак/,Железничка станица Дунав
Блок 44,Земун /Нови град/
Савски трг,Миријево
Бирчанинова,Железничка станица Ресник
Железничка станица Панчевачки мост,Миљаковац 3
Баново Брдо,Насеље Степа Степановић
Устаничка,Баново брдо
Савски трг,Беле Воде
Зелени Венац,Церак Виногради
Зелени Венац, Видиковац
Миљаковац,МЗ Макиш
Звездара,Стари Железник
Зелени Венац,Петлово брдо
Баново брдо,Баново брдо
Железничка станица Панчевачки мост,Нови Железник
Славија/Бирчанинова,Петлово брдо
Зелени Венац,Нови Београд /Топлана/
Звездара 2,Ново Бежанијско Гробље
Вуков споменик,Научно-технолошки парк Звездар
Зелени Венац,Нови Београд /Блок 70А/ 
Зелени Венац,Нови Београд /Блок 70/ 
Го Нови Београд,Депо Сава
Бежанијска коса,ИКЕА
Зелени Венац,Бежанија /Ледине/
Зелени Венац,Аеродром Никола Тесла
Нови Београд /Блок 45/ ,Батајница /Железничка Станица/
Бежанијска Коса,Миријево 3
Зелени Венац,Бежанијска Коса
Нови Београд /Блок 70А/ ,Бежанијска Коса/Болница/
Звездара,Бежанијска Коса/Болница/
Бањица 2,Земун /Нови Град/ 
Дорћол /СРЦ Милан Гале Мушкатировић/,Миријево 4 
Нови Београд/Павиљони/,Алтина1
Земун /Кеј Ослобођења/,Блок 44 
Црвени Крст,Земун /Бачка/
Зелени Венац,Нова Галеника
Баново брдо,Борча 3
Чукаричка  Падина,Чукаричка  Падина
Земун /Кеј Ослобођења/,Нови Железник
Видиковац,Нови Београд /Блок 72/ 
Савска (окретница),Остружница /Ново Насеље/
Балканса,Остружница /Караула/
Нови Београд /Блок 45/ ,Ресник /Едварда Грига/
Нови Београд /Блок 45/ ,Борча 3
ЖС Панчевачки мост,Борча 3
Омладински Стадион,Падинска Скела
Падинска Скела,Врбовски /Широка греда/
Омладински Стадион,Црвенка
Омладински Стадион,Овча /Железничка Станица/
Омладински Стадион,Јабучки Рит
Падинска Скела,Дунавац
Омладински Стадион,Рева /Дубока Бара/
Падинска Скела,Стајалиште Пут за Дунавац
Падинска скела,Пут за Врбовски
Омладински Стадион,Велико Село
Устаничка,Бегаљица
Устаничка,Врчин
Устаничка,Ритопек
Устаничка,Болеч
Устаничка,Бубањ Поток
Устаничка,Винча
Шумице,Велики Мокри луг
Звездара /Пијаца/,Калуђерица
Шумице,Мали мокри луг
Устаничка,Лештане (Раван)
МЗ Велики мокри луг,МЗ Велики мокри луг
Вождовац,Врх Авале
Славија /Бирчанинова/,Пиносава
